B00PMDEYF20,B00PMDEYF2,"There was something familiar about the woman returning a kitten to its crate. What was her name? Hazel? Yes, Hazel.

In the conversation that had followed, Grace discovered that Hazel, now a widow, was also a recent émigré from New Jersey. The friend with Hazel that day, Gus, was her newly rediscovered college friend, a transplant from New England.

Now living in the downtown home she’d inherited from her parents, Hazel insisted Grace and Gus come to dinner that evening, and the rest, as they say, became wonder woman history.

In Grace’s mind, Hazel was an ordinary woman with a middle-class upbringing and outlook, but now and then, she became a radical mastermind—this morning being a case in point. Hazel’s support for Bruce, her significant other, was unqualified. As board member and pro-bono counsel for the Historical Prevention Society, he wanted with all his heart and mind to save the McClellan building. Therefore, so did Hazel; and therefore, here they were on this ladder.

Looking down at Gus, Grace smiled to herself— Gus was a good friend. Not quite sixty, Gus still worked part-time as a vet tech, so she didn’t have as much free time, but she showed up for every plot and plan, kvetching, just like now."
B00PMDEYF21,B00PMDEYF2,"Chinese Christmas

33 Auld Lang Syne and Senior Sex Olympics

34 Will I Still Love Me When I’m Sixty-Four?

35 What a Difference a Year Makes

1

Operation Wonder Woman

Silhouetted against the denim sky, two women ascended a ladder behind the yellow brick McClellan building, Pine Crossing’s defunct five-and-dime store. The third woman, meant to be steadying the ladder, threw up in a forsythia bush. She assigned her queasiness to the hour—four in the morning—and the garish green view through her night-vision goggles.

With ease, the three-part extension ladder reached the parapet of the second-story roof. Seventy-something Grace, clad in a black spandex outfit, her Tide-white hair stuffed under an ancient black bathing cap, went first. The most athletic of the three women, she scampered up the ladder like a spider in a hurry, her grandson’s paintball gun bungee-corded to her backpack, her fanny pack bulging with paintballs.

As she climbed, Grace reflected on the moment. How exactly had she gotten here? Wacky ideas were the trio’s forte, Grace realized, but this caper was off the charts. Hazel, now wiping her mouth at the bottom of the ladder, had been one of her more creative physical education students in high school."
B071FRWF2M0,B071FRWF2M,"He had always said Iseul was better than a son, certainly ate more than one and was grateful that all that food rendered useful because she had always managed to get more done than any son he could have ever dreamed of.

Yet, it was only in these narrow halls of school that Iseul was acutely aware of her place — she was a girl, and even a poor one at that. Though it was the last place Jung-Soo wanted to be, for Iseul, every time she walked the halls of the school, it was as if she were infringing on holy ground she wished to be worthy of.

Classes seemed to have been in progress since the sliding doors of the teacher’s office opened to an empty room. Iseul slipped the stacks of paper in the storage cabinet as she usually did and made her way to the corridors and back towards the gate. She felt the nudge of the extra pair of chopsticks against her back as she grunted and turned back towards the school to find Jung-Soo.

Stepping into the corridors again, the sliding doors of the classroom opened as a flood of boys passed Iseul as if she were invisible. She stood looking for Jung-Soo in the crowd, wondering if the whole thing was a terrible idea. And just when she decided it was best to leave, she felt a tap on her shoulders."
B071FRWF2M1,B071FRWF2M,"Mr. Lim followed his distressed son towards the house when his gaze landed on Jung-Soo. Strange, Jung-Soo thought. Mr. Lim gave no indication that there was anything wrong. Instead, he exuded a sense of tranquility that said he knew exactly what was happening. He gave Jung-Soo a look of stern reserve he had never seen in his usually spirited exterior.

Mr. Lim turned away as if he hadn’t seen Jung-Soo and closed the door of his home behind him.

* **

A few days had passed since Jung-Soo noticed suspicious activities in Byung-Guk’s home. It was, in fact, an eventuality Jung-Soo had foreseen for a while, despite his great efforts to ignore the fact that his father had always been a man of many secrets.

While Jung-Soo had turned a blind eye to what occurred at home, life outside the Golden Palace seemed to continue on as usual, as he had more than once embarrassed himself at school by falling asleep and banging his head on his wooden desk. It seemed he had something in common with Iseul.

* **

That morning, Iseul filled her wooden chige backpack with the usual supply of paper and firewood as she squatted to lift the load off the ground."
B01KKNM8UQ0,B01KKNM8UQ,"I hoped that my father, in the afterlife to which he had gone, was also celebrating Christmas and the New Year, but I feared that he was alone and that, unlike Ai-ming, he had not yet found a family to protect him. Despite my anger at him, despite the pain that wouldn’t leave me, I could not shake my longing for his happiness.

It was inevitable, of course, that Ai-ming would discover the boxes under the table. In January, I came home from school and found my father’s papers completely exposed—not because she had moved them, but because she had pushed the dining table backwards. One of the boxes had been completely emptied. Ba’s diaries, spread across the table, reminded me of the poverty of the Vancouver flea market. Worse, Ai-ming could read every character while I, his only daughter, couldn’t read a single line.

She was making cabbage salad and had grated so much horseradish that I wondered whether the cabbage would actually fit.

I said that I didn’t know if my stomach could handle that much horseradish.

She nodded distractedly and flung the cabbage in, tossing it wildly. Everything flew up in the air and rained down into the bowl."
B01KKNM8UQ1,B01KKNM8UQ,"Festive lights shone in almost every window but ours, and I had the sensation that our apartment was under scrutiny by residents of a UFO, unsure whether to land in Vancouver or fly on. The aliens in my spaceship were asking themselves: Do they have soda? What kind of food do they eat? Maybe we should wait and return in spring? Land, I told them. People aren’t made to float through the air. Unless we know the weight of our bodies, unless we feel the force of gravity, we’ll forget what we are, we’ll lose ourselves without even noticing.

Ai-ming had been reading one of my father’s bilingual poetry books. I picked it up now, a book familiar to me because I had used it in my calligraphy lessons. I paged through it until I came to a poem I knew, words my father had underlined,

Watch little by little the night turn around.

Echoes in the house; want to go up, dare not.

A glow behind the screen; wish to go through, cannot.

It would hurt too much, to see the swallow on her hairpin.

Truly shame me, to see the phoenix in her mirror.

To Hengtang I return at dawn

Fading like light on a jewelled saddle.

I read the poem twice through and closed the book."
B07763PQWN0,B07763PQWN,"So, defense against air magic or... I also had Fenrir's Claw, which I could not use at all due to level requirements! That was right! I opened my inventory. There it was:

Fenrir's Claw amulet (unique item)

Gives +250 Constitution, +250 Strength, +50% resistance to physical damage, +50 to reaction of the following creatures: Dogs, Wolves, Wargs, Volkodlaks

Attention! Your character's level is too low to use this object

Requisite level: 125

A great candidate for removing level requirement! I chose to use the Ifrit Heart for that. Nothing happened for five seconds, and the information on Fenrir's Claw didn't change. I even got worried it hadn’t worked. Although... I could now place the amulet in the proper equipment slot, which I immediately did. And, just then, the game system started spewing a whole bedsheet of text:

You have equipped two items from Fenrir’s Cursed Regalia

Hidden mission completed: True Alpha of the Gray Pack

Experience received: 40000 Exp.

Gray Pack member limit increased to ten

Set bonus unlocked: all Gray Pack members will receive a bonus of +50 Strength, +50 Agility, +50 Constitution, +25% movement speed, +25% experience gain

Level forty-one!

Level forty-two!

Animal Control skill increased to level 15!

Mission received: Fenrir's Legacy (1/4)"
B07763PQWN1,B07763PQWN,"Only Taisha and Valerianna were nearby at that moment, so I had nothing to hide. Not wasting time, I stuck the stone in my mouth and sucked all the moisture off it.

Achievement unlocked: Taste Tester (42/1000)

The message was, though pleasant, entirely predictable, so I wasn't surprised. But the next events showed me how little I knew about Boundless Realm. The stone suddenly gave a pulse in my mouth, as if the Ifrit heart was still alive, and my goblin swallowed it in surprise... I choked and fell down on a knee, because the stone was fairly large. It took a good bit of effort to pass. Still, I managed to work the stone down my gullet. The next message I saw made my Goblin perk up his ears in surprise:

Fame increased

Present value: 5

You are the first player to use an Ifrit Heart in this way

You have activated a magical item

You may choose one effect:

One-time experience-gain of 500000 Exp.

Permanent +5% defense against air magic

One item in your inventory will be stripped of level and skill requirements

Holy crap! Half a million experience points could instantly level up my Goblin Herbalist to 51! Eleven levels in one go!"
B0036S4DS80,B0036S4DS8,"One student carried a lectern to a small paved area at the front, and the others sat down on the benches. From beyond the stone courtyard walls came the rush and hum of traffic. But Andras was here inside, sitting beside three men whose names he knew; he was one of these students, and he belonged on this side of the wall. He tried to take note of the feeling, tried to imagine how he might write about it to Tibor, to Mátyás. But before he could put the words together in his mind, a door opened in the side of the building and a man strode out. He looked as though he could have been a military captain; he wore a long gray cloak lined in red, and sported a short triangular beard with wax-curled moustaches. His eyes were narrow and fierce behind rimless pince-nez. In one hand he carried a walking stick, and in the other what looked like a jagged gray rock. Any other man, it seemed to Andras, would have had to bow under the weight of the thing, but this man crossed the courtyard with his back straight and his chin set at a martial angle. He stepped up to the lectern and set the rock down upon it with a hollow thud."
B0036S4DS81,B0036S4DS8,"He took Andras by the shoulder and introduced Ben Yakov, who resembled the handsome French film star Pierre Fresnay; and Polaner, small and light-boned, with a neat, close-shorn head and tapering hands. Andras greeted everyone and repeated his own name, and the young men’s conversation continued in quick French as Andras tried to pick up a thread of meaning. Rosen seemed to be the leader of the group; he led the conversation, and the others listened and responded. Polaner seemed nervous, buttoning and unbuttoning the top button of his antique-looking velvet jacket. The handsome Ben Yakov eyed a group of young women; one of them waved, and he waved in return. Then he leaned in toward Polaner and Rosen to make what could only have been a suggestive joke, and the three of them laughed. Though Andras found himself struggling to follow the men’s talk, and though they had hardly addressed him at all, he felt an acute desire to know them. When they went to look at the studio lists, he was glad to find they were all in the same group.

After a short time the students began to move out into the stone-walled courtyard, where tall trees overshadowed rows of wooden benches."
B009MYARIK0,B009MYARIK,"I want to be able to tell our children that I fell in love with their father all over again, the day he proposed.

Our children. Our home. Our life.

As I let my mind roll around the images, I feel a release inside me. I’m ready for this. I’m thirty-three years old and I’m ready. All my grown-up life, I’ve steered away from the subject of marriage. My friends are the same. It’s as though there’s been a crime-scene cordon around the whole area: NO ENTRY. You just don’t go there, because if you do, you’ve jinxed it and your boyfriend chucks you.

But now there’s nothing to jinx. I can feel the love flowing between us, over the table. I want to grab Richard’s hands. I want to envelop him in my arms. He is such a wonderful, wonderful man. I’m so lucky. In forty years when we’re both wrinkled and gray, perhaps we’ll walk up the Strand hand in hand and remember today and thank God we found each other. I mean, what were the chances, in this teeming world of strangers? Love is so random. So random. It’s a miracle, really. …

Oh God, I’m blinking. …"
B009MYARIK1,B009MYARIK,"We limped on for another year, and when I look back, it’s as though that second year is a big black miserable blot in my life.

Then there was Julian. That lasted two years too, but it never really took. It was like a skeleton of a relationship. I suppose both of us were working far too hard. I’d recently moved to Blay Pharmaceuticals and was traveling all over the country. He was trying to get partnership at his accountancy firm. I’m not sure we ever even broke up properly— we just drifted apart. We meet up occasionally, as friends, and it’s the same for both of us —we’re not quite sure where it all went wrong. He even asked me out on a date a year or so ago, but I had to tell him I was with someone now and really happy. And that was Richard. The guy I really do love. The guy sitting opposite me with a ring in his pocket (maybe).

Richard is definitely better-looking than any of my other boyfriends. (Maybe I’m biased, but I think he’s gorgeous.) He works hard as a media analyst, but he’s not obsessed. He’s not as rich as Julian, but who cares? He’s energetic and funny and has an uproarious laugh that makes my spirits lift, whatever mood I’m in."
B01LBEAR4W0,B01LBEAR4W,"At first. And then there’d been heat of a different kind. Vampires and shifters didn’t mate.

But oh, we’d come damn close.

It hadn’t been easy sneaking away to find places to have sex. It’d felt like being in high school all over again and trying not to get caught by my parents, except in that case, by an entire pack of mangy, angry wolves.

My stomach twisted as I remembered the things James had done to me. The things I’d done to him. And then one day, he’d gone away. Leaving no note. Nothing. I hadn’t heard from him since.

Until right now.

I could say I’d been hurt, but I hadn’t been shocked by it, either. I’d always expected him to bail on me eventually and tried to guard my heart as best I could. But when he left, it cut me deeply.

I couldn’t help glancing at his hand, looking for a ring, wondering if maybe he’d been mated yet. There was no band, not even a tan line. My stomach flipped again.

I wasn’t the same woman I’d been then. I’d seen things, grown up some. The hurt was still there, but only the memory of it."
B01LBEAR4W1,B01LBEAR4W,"James and Merc were friends from way, way back. Long before I was born, human or otherwise. But I could almost swear that Mercer didn’t seem all that happy to see James. Though he grinned, there was a tightness around his eyes that only I seemed to notice.

James didn’t smile back, but he did lift up from his seat to do a violent body-grabbing sort of hug thing with Merc. Wolves were demonstrative in their affection, more so than vampires, but that affection was always honed with a fine razor’s edge of violence, as there was to just about everything they did.

I had to admit I liked the way wolves did things. There was no scheming with them. They either liked someone or they didn’t. If they were gonna stab a person, they’d do it right to their face, so people always knew where they stood with wolves. Vampires, they would smile in someone ’s face while stabbing them in the back. There was so much politicking behind the scenes to everything they did, just a few hours in their courts left me feeling exhausted and demoralized.

James glanced back at me, the look heated but brief, before answering Mercer’s question. I wet my lips."
