_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,age,describe_your_english_reading_skills_see_instructions_for_more_details,gender,how_often_do_you_read_for_pleasure,native_languages,please_specify_gender,what_is_the_highest_degree_or_level_of_school_you_have_completed__if_you_are_currently_enrolled_in_school_please_indicate_the_highest_degree_you_have_received,what_languages_do_you_read_for_pleasure_in
2056055231,12/28/18 21:28,4375134512,12/28/18 21:26,FALSE,neodev,1,243,SRB,0,Krusevac,,4554,intermediate,male,a_few_times_a_month,serbian,,graduate_degree,serbian
2056055231,12/28/18 21:32,4375151276,12/28/18 21:31,FALSE,elite,0.7,952,RUS,53,Novosibirsk,,3544,advanced,male,a_few_times_a_week,Russian,,graduate_degree,"Russian, English"
2056055231,12/28/18 21:35,4375162457,12/28/18 21:35,FALSE,neodev,0.6,373,GRC,13,Thessaloníki,,4554,advanced,female,every_23_days,GREEK,,graduate_degree,english
2056055231,12/28/18 21:38,4375170538,12/28/18 21:36,FALSE,neodev,0.4,717,ECU,,,,2534,intermediate,female,a_few_times_a_week,Spanish,,college_degree_or_equivalent,spanish
2056055231,12/28/18 21:43,4375188764,12/28/18 21:36,FALSE,clixsense,0.52,964,VEN,4,Maracay,,3544,intermediate,male,every_day,ESPAÑOL,,graduate_degree,ESPAÑOL
2056055231,12/28/18 21:47,4375205910,12/28/18 21:44,FALSE,neodev,0.4333,286,VEN,25,Caracas,,1824,intermediate,male,every_day,spanish,,college_degree_or_equivalent,spanish
2056055231,12/28/18 21:48,4375206876,12/28/18 21:46,FALSE,neodev,0.4857,965,VEN,25,Caracas,,1824,intermediate,male,every_23_days,Spanish,,college_degree_or_equivalent,"english, german"
2056055231,12/28/18 21:52,4375222610,12/28/18 21:50,FALSE,neodev,0.425,621,VEN,25,Caracas,,prefer_not_to_state,intermediate,male,every_day,SPANISH,,high_school_secondary_school_or_equivalent,SPANISH
2056055231,12/28/18 21:59,4375253206,12/28/18 21:58,FALSE,neodev,0.4,42,VEN,25,Caracas,,3544,expertfluent,male,every_23_days,spanish,,college_degree_or_equivalent,spanish
2056055231,12/28/18 22:02,4375267333,12/28/18 21:59,FALSE,neodev,0.38,582,VEN,25,Caracas,,2534,advanced,male,every_day,spanish,,high_school_secondary_school_or_equivalent,spanish/english
2056055231,12/28/18 22:04,4375279275,12/28/18 21:59,FALSE,neodev,0.26,555,VEN,25,Caracas,,65_years_or_older,advanced,female,every_day,espanish,,college_degree_or_equivalent,"espanish, english"
2056055231,12/28/18 22:05,4375281847,12/28/18 22:04,FALSE,neodev,0.35,600,EGY,6,Alexandria,,2534,expertfluent,male,a_few_times_a_year,arabic,,college_degree_or_equivalent,"germany , english"
2056055231,12/28/18 22:06,4375287060,12/28/18 22:01,FALSE,elite,0.3385,456,VEN,25,Caracas,,2534,advanced,female,every_23_days,spanish,,graduate_degree,english-spanish
2056055231,12/28/18 22:08,4375294434,12/28/18 22:05,FALSE,elite,0.3714,576,VEN,,,,3544,intermediate,male,a_few_times_a_month,Spanish,,high_school_secondary_school_or_equivalent,Spanish
2056055231,12/28/18 22:09,4375297987,12/28/18 22:01,FALSE,neodev,0.44,575,VEN,25,Caracas,,3544,advanced,male,every_23_days,spanish,,graduate_degree,english-spanish
2056055231,12/28/18 22:10,4375303264,12/28/18 22:01,FALSE,elite,0.3882,525,VEN,25,Caracas,,3544,advanced,female,every_23_days,spanish,,college_degree_or_equivalent,spanish and english
2056055231,12/28/18 22:10,4375303656,12/28/18 22:05,FALSE,neodev,0.3294,577,VEN,25,Caracas,,1824,intermediate,female,a_few_times_a_week,Spanish,,college_degree_or_equivalent,Spanish
2056055231,12/28/18 22:10,4375304744,12/28/18 22:04,FALSE,neodev,0.4333,458,VEN,,,,3544,intermediate,male,a_few_times_a_week,Spanish,,graduate_degree,Spanish
2056055231,12/28/18 22:12,4375311759,12/28/18 22:04,FALSE,elite,0.3667,754,VEN,,,,3544,beginner,male,every_23_days,Spanish,,college_degree_or_equivalent,Spanish
2056055231,12/28/18 22:12,4375312152,12/28/18 22:05,FALSE,elite,0.2444,578,VEN,25,Caracas,,1824,beginner,female,every_23_days,Spanish,,graduate_degree,Spanish
2056055231,12/28/18 22:20,4375345990,12/28/18 22:18,FALSE,clixsense,0.3333,218,GRC,13,Thessaloníki,,3544,expertfluent,female,every_day,Greek,,graduate_degree,English
2056055231,12/28/18 22:21,4375350574,12/28/18 22:19,FALSE,clixsense,0.3818,91,VEN,25,Caracas,,1824,advanced,male,a_few_times_a_week,Spanish,,graduate_degree,"Spanish, English"
2056055231,12/28/18 22:24,4375365795,12/28/18 22:23,FALSE,clixsense,0.4,354,UKR,,,,4554,intermediate,male,every_day,Russian,,graduate_degree,Russian
2056055231,12/28/18 22:29,4375380559,12/28/18 22:28,FALSE,neodev,0.3913,226,VEN,25,Caracas,,2534,intermediate,male,every_day,spanish,,college_degree_or_equivalent,spanish
2056055231,12/28/18 22:30,4375381842,12/28/18 22:29,FALSE,neodev,0.384,574,VEN,,,,3544,expertfluent,male,a_few_times_a_week,spanish,,college_degree_or_equivalent,English
2056055231,12/28/18 22:33,4375388094,12/28/18 22:32,FALSE,neodev,0.376,898,VEN,4,Maracay,,2534,advanced,male,a_few_times_a_week,spanish,,graduate_degree,spanish
2056055231,12/28/18 22:34,4375389902,12/28/18 22:32,FALSE,neodev,0.2963,966,VEN,23,Maracaibo,,2534,prefer_not_to_state,male,every_day,español,,high_school_secondary_school_or_equivalent,español
2056055231,12/28/18 22:53,4375420709,12/28/18 22:52,FALSE,instagc,0.3143,587,GBR,K2,Oxford,,2534,expertfluent,female,every_23_days,English,,graduate_degree,English
2056055231,12/28/18 22:57,4375427233,12/28/18 22:55,FALSE,elite,0.3655,538,VEN,,,,3544,advanced,female,every_23_days,Spanish,,college_degree_or_equivalent,Spanish - English
2056055231,12/28/18 23:14,4375461330,12/28/18 23:13,FALSE,neodev,0.2067,48,VEN,25,Caracas,,2534,beginner,female,a_few_times_a_month,Spanish,,high_school_secondary_school_or_equivalent,Spanish
2056055231,12/28/18 23:19,4375470895,12/28/18 23:16,FALSE,neodev,0.3438,43,VEN,2,Anaco,,2534,expertfluent,female,every_23_days,"english, spanish",,college_degree_or_equivalent,english
2056055231,12/28/18 23:20,4375471676,12/28/18 23:19,FALSE,instagc,0.35,629,USA,PA,Carlisle,,3544,expertfluent,female,every_day,English,,college_degree_or_equivalent,English
2056055231,12/28/18 23:22,4375475902,12/28/18 23:16,FALSE,clixsense,0.3636,630,VEN,25,Caracas,,2534,intermediate,female,a_few_times_a_week,Spanish,,college_degree_or_equivalent,Spanish
2056055231,12/28/18 23:29,4375485934,12/28/18 23:23,FALSE,clixsense,0.4176,591,VEN,,,,3544,intermediate,male,every_day,spanish,,graduate_degree,"spanish, english"
2056055231,12/28/18 23:29,4375486761,12/28/18 23:19,FALSE,neodev,0.3706,603,VEN,25,Caracas,,3544,intermediate,female,a_few_times_a_week,spanish,,college_degree_or_equivalent,spanish
2056055231,12/28/18 23:30,4375487477,12/28/18 23:28,FALSE,neodev,0.3222,644,VEN,,,,3544,beginner,male,every_day,español,,high_school_secondary_school_or_equivalent,español
